,index,ticker,name,number of students,is in
1,1,AL,ALABAMA,1138263,False
0,0,AK,ALASKA,174037,False
3,4,AZ,ARIZONA,2034932,False
2,2,AR,ARKANSAS,700555,False
4,5,CA,CALIFORNIA,9957210,False
5,6,CO,COLORADO,1419793,False
6,7,CT,CONNECTICUT,782722,False
8,9,DE,DELAWARE,216049,False
7,8,DC,DISTRICT OF COLUMBIA,207750,False
9,10,FL,FLORIDA,4365851,False
10,12,GA,GEORGIA,2467101,False
11,14,HI,HAWAII,261291,False
13,16,ID,IDAHO,501207,False
14,17,IL,ILLINOIS,3001500,False
15,18,IN,INDIANA,1645606,False
12,15,IA,IOWA,802906,False
16,19,KS,KANSAS,787159,False
17,20,KY,KENTUCKY,1029489,False
18,21,LA,LOUISIANA,1025502,False
21,24,ME,MAINE,274128,False
20,23,MD,MARYLAND,1390424,False
19,22,MA,MASSACHUSETTS,1579444,False
22,25,MI,MICHIGAN,2187490,False
23,26,MN,MINNESOTA,1448606,False
25,29,MS,MISSISSIPPI,683160,False
24,27,MO,MISSOURI,1386029,False
26,30,MT,MONTANA,210984,False
29,33,NE,NEBRASKA,505231,False
33,37,NV,NEVADA,656806,False
30,34,NH,NEW HAMPSHIRE,409051,False
31,35,NJ,NEW JERSEY,1967123,False
32,36,NM,NEW MEXICO,499638,False
34,38,NY,NEW YORK,4290165,False
27,31,NC,NORTH CAROLINA,2271013,False
28,32,ND,NORTH DAKOTA,181374,False
35,39,OH,OHIO,2554499,False
36,40,OK,OKLAHOMA,979980,False
37,41,OR,OREGON,914787,False
38,42,PA,PENNSYLVANIA,2608861,False
39,43,PR,PUERTO RICO,542214,False
40,44,RI,RHODE ISLAND,241059,False
41,45,SC,SOUTH CAROLINA,1086605,False
42,46,SD,SOUTH DAKOTA,212070,False
43,47,TN,TENNESSEE,1431226,False
44,48,TX,TEXAS,7714218,False
45,49,UT,UTAH,1180517,False
47,52,VT,VERMONT,143727,False
46,50,VA,VIRGINIA,2014431,False
48,53,WA,WASHINGTON,1646614,False
50,55,WV,WEST VIRGINIA,466323,False
49,54,WI,WISCONSIN,1280368,False
51,56,WY,WYOMING,137578,False
