,балл,коммент,место в работе
pandas,2,"на протяжении всего ислледования проделана масштабная работа в пандах, в том числе merge, concat и transpose",везде
Веб-скреппинг,1,есть bs4 для обработки 5 первых ответов duckduckgo,#8
API,1,есть использование api в объеме домашней работы,#7
Визуализации,2,"полно, лучшая - 4 гистограммы","#2, #3"
Математика,1,есть для обработки датасетов и ускорения вместо циклов,#3
Streamlit,1,как видно,везде
SQL,1,есть для поиска числа оценок студентов выше среднего родителя,#4
Регулярные выражения,1,есть для подсчета кол-ва упоминаний,#8
geopadas,1,есть карта,#7
machine learning,1,есть регрессия,#6
networkx,1,есть граф,#3
дополнительные технологии,2,30 строк bokeh на продвинутом уровне,#2
объем,1,более 200 строк,везде
целостность проекта,1,единая идея - образование в сша,везде
впечатление,,на вкус и цвет,meow
